State, 2010, 2000
Alabama,59,55.4
Alaska,66,65.6
Arizona,89.8,88.2
Arkansas,56.2,52.5
California,95.2,94.4
Colorado,86.2,84.5
Connecticut,88,87.7
Delaware,83.3,80.1
District of Columbia,100,100
Florida,91.2,89.3
Georgia,75.1,71.6
Hawaii,91.9,91.5
Idaho,70.6,66.4
Illinois,88.5,87.8
Indiana,72.4,70.8
Iowa,64,61.1
Kansas,74.2,71.4
Kentucky,58.4,55.8
Louisiana,73.2,72.6
Maine,38.7,40.2
Maryland,87.2,86.1
Massachusetts,92,91.4
Michigan,74.6,74.7
Minnesota,73.3,70.9
Mississippi,49.3,48.8
Missouri,70.4,69.4
Montana,55.9,54.1
Nebraska,73.1,69.8
Nevada,94.2,91.5
New Hampshire,60.3,59.3
New Jersey,94.7,94.4
New Mexico,77.4,75
New York,87.9,87.5
North Carolina,66.1,60.2
North Dakota,59.9,55.9
Ohio,77.9,77.4
Oklahoma,66.2,65.3
Oregon,81,78.7
Pennsylvania,78.7,77.1
Rhode Island,90.7,90.9
South Carolina,66.3,60.5
South Dakota,56.7,51.9
Tennessee,66.4,63.6
Texas,84.7,82.5
Utah,90.6,88.2
Vermont,38.9,38.2
Virginia,75.5,73
Washington,84,82
West Virginia,48.7,46.1
Wisconsin,70.2,68.3
Wyoming,64.8,65.1
