,year,state,hs_grad,rank_a,bachelors,rank_b,adv_degree,rank_c,avg_income,dem_name,rep_name,dem_spend,rep_spend,dem_pac,rep_pac,inflation_rate,poverty_rate,stock_change,unemployment_rate,perc_urban,rep_sen,rep_house,campaign_fund,rep_legis,rep_win,stateGDP
0,1992,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,,,,,,,,2.9,,15.45,8.1,,,,,,,
1,1993,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,,,,,,,,2.75,,14.75,8.0,,,,,,,
2,1994,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,,,,,,,,2.67,,-3.2,7.5,,,,,,,
3,1995,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,,,,,,,,2.54,,39.92,6.6,,,,,,,
4,1996,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,,,,,,,,3.32,,22.71,5.7,,,,,,,
5,1997,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,,,,,,,,1.7,,21.64,5.6,,,,,,,
6,1998,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,,,,,,,,1.61,,39.63,4.5,,,,,,,
7,1999,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,,,,,,,,2.68,,85.59,4.7,,,,,,,
8,2000,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,48800.0,Gore,G.W. Bush,120.3,186.5,0.0,0.0,3.39,15.6,-39.29,5.1,55.4,0.55,0.5195,0.6079,34.0,1.0,0.744375363420853
9,2001,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,51380.0,,,,,,,1.55,16.5,-21.05,5.2,55.85,,,,,,
10,2002,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,49774.0,,,,,,,2.38,16.6,-31.53,6.5,56.3,,,,,,
11,2003,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,47651.0,,,,,,,1.88,17.1,50.01,6.2,56.75,,,,,,
12,2004,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,46745.0,Kerry,G.W. Bush,332.7,355.0,0.0,0.0,3.26,16.1,8.59,6.4,56.975,0.51,0.5264,0.5162,37.0,1.0,0.7807275047862159
13,2005,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,46255.0,,,,,,,3.42,17.0,1.37,5.4,57.2,,,,,,
14,2006,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,50028.0,,,,,,,2.54,16.6,9.52,4.4,57.425,,,,,,
15,2007,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,50761.0,,,,,,,4.08,16.9,9.81,4.3,57.65,,,,,,
16,2008,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,45789.0,Obama,McCain,760.4,239.7,0.0,0.0,0.09,15.7,-40.54,4.8,58.1,0.49,0.4644,0.2397,40.0,1.0,0.763951158033925
17,2009,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,46120.0,,,,,,,2.72,17.5,43.89,9.7,58.55,,,,,,
18,2010,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,46520.0,,,,,,,1.5,19.0,16.91,12.3,59.0,,,,,,
19,2011,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,46490.0,,,,,,,2.96,19.0,-1.8,11.0,,,,,,,
20,2012,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,43616.0,Obama,Romney,737.1,458.7,70.5,143.3,1.74,19.0,15.91,8.3,,0.51,0.5563,0.396,62.0,1.0,0.7563594077704179
21,2013,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,49876.0,,,,,,,1.5,18.7,38.32,8.2,,,,,,,
22,2014,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,43820.0,,,,,,,0.76,19.3,13.4,7.6,,,,,,,
23,2015,Alabama,84.3,44.0,23.5,44.0,8.7,38.0,46053.0,,,,,,,0.73,18.5,5.73,6.4,,,,,,,
24,1992,Alaska,92.1,5.0,28.0,26.0,10.1,27.0,,,,,,,,2.9,,15.45,10.6,,,,,,,
25,1993,Alaska,92.1,5.0,28.0,26.0,10.1,27.0,,,,,,,,2.75,,14.75,9.0,,,,,,,
26,1994,Alaska,92.1,5.0,28.0,26.0,10.1,27.0,,,,,,,,2.67,,-3.2,8.8,,,,,,,
27,1995,Alaska,92.1,5.0,28.0,26.0,10.1,27.0,,,,,,,,2.54,,39.92,8.5,,,,,,,
28,1996,Alaska,92.1,5.0,28.0,26.0,10.1,27.0,,,,,,,,3.32,,22.71,9.0,,,,,,,
29,1997,Alaska,92.1,5.0,28.0,26.0,10.1,27.0,,,,,,,,1.7,,21.64,8.6,,,,,,,
30,1998,Alaska,92.1,5.0,28.0,26.0,10.1,27.0,,,,,,,,1.61,,39.63,7.5,,,,,,,
