year,state,hs_grad,bachelors,adv_degree,media houdhold income,rep_spending,dem_spending,inflation_rate,poverty_rate,stock_change,unemployment_rate,perc_urban,rep_sen,rep_house,campaign_fund,rep_legis,stateGDP,rep_win
2000,Alabama,75.2690656,19.0347025,6.851700492,50566,262.033,169.022,3.39,15.6,-39.29,5.1,55.4,0.55,0.5195,0.6079,34,0.744375363,1
2000,Alaska,88.33321038,24.71493008,8.59188104,75436,262.033,169.022,3.39,9.1,-39.29,7.4,65.6,0.55,0.5195,0.6079,65,1.278883571,1
2000,Arizona,80.97321896,23.53097982,8.377689959,56788,262.033,169.022,3.39,15.6,-39.29,4.2,88.2,0.55,0.5195,0.6079,62,0.876347453,1
2000,Arkansas,75.30909196,16.66058226,5.660871072,42391,262.033,169.022,3.39,17,-39.29,5.1,52.5,0.55,0.5195,0.6079,21,0.711947041,1
2000,California,76.79343534,26.62093348,9.530111884,66827,262.033,169.022,3.39,13.7,-39.29,5.4,94.4,0.55,0.5195,0.6079,39,1.07847654,0
2000,Colorado,86.92520291,32.69266507,11.11875827,68860,262.033,169.022,3.39,8.7,-39.29,3.2,84.5,0.55,0.5195,0.6079,60,1.152301293,1
2000,Connecticut,83.98443643,31.40741683,13.25321254,71618,262.033,169.022,3.39,7.7,-39.29,3.3,87.7,0.55,0.5195,0.6079,39,1.372165317,0
2000,Delaware,82.60281585,25.04906171,9.431700275,71893,262.033,169.022,3.39,9.3,-39.29,4.1,80.1,0.55,0.5195,0.6079,55,1.542961936,0
2000,District of Columbia,77.8306266,39.06978559,20.99704838,58842,262.033,169.022,3.39,17.5,-39.29,5.9,100,0.55,0.5195,0.6079,15,3.10032652,0
2000,Florida,79.86376886,22.33475999,8.065629324,55465,262.033,169.022,3.39,12.8,-39.29,3.7,89.3,0.55,0.5195,0.6079,61,0.869079036,1
2000,Georgia,78.57006362,24.29977834,8.297491402,59811,262.033,169.022,3.39,12.6,-39.29,3.8,71.6,0.55,0.5195,0.6079,43,1.016393076,1
2000,Hawaii,84.57139582,26.17408349,8.417437509,73579,262.033,169.022,3.39,8.8,-39.29,4.7,91.5,0.55,0.5195,0.6079,18,0.98984658,0
2000,Idaho,84.71616053,21.66525927,6.82078209,53688,262.033,169.022,3.39,11.4,-39.29,6,66.4,0.55,0.5195,0.6079,85,0.779420316,1
2000,Illinois,81.43335736,26.06138377,9.542242212,65754,262.033,169.022,3.39,11.1,-39.29,4.7,87.8,0.55,0.5195,0.6079,50,1.09909648,0
2000,Indiana,82.13484883,19.40814399,7.201283854,58332,262.033,169.022,3.39,10.1,-39.29,3.6,70.8,0.55,0.5195,0.6079,52,0.92152346,1
2000,Iowa,86.10464086,21.20888928,6.526867019,58512,262.033,169.022,3.39,10,-39.29,3.4,61.1,0.55,0.5195,0.6079,57,0.888916223,0
2000,Kansas,86.02174809,25.80391451,8.741264291,58609,262.033,169.022,3.39,9.5,-39.29,3.7,71.4,0.55,0.5195,0.6079,63,0.89285235,1
