state,year,rep_sen,rep_house,campaign_fund,rep_legis,rep_win,stateGDP
Alabama,2000,0.55,0.5195,0.6079,34,1,0.744375363420853
Alaska,2000,0.55,0.5195,0.6079,65,1,1.27888357114103
Arizona,2000,0.55,0.5195,0.6079,62,1,0.876347452699378
Arkansas,2000,0.55,0.5195,0.6079,21,1,0.711947041195151
California,2000,0.55,0.5195,0.6079,39,0,1.0784765397862
Colorado,2000,0.55,0.5195,0.6079,60,1,1.15230129266002
Connecticut,2000,0.55,0.5195,0.6079,39,0,1.37216531735027
Delaware,2000,0.55,0.5195,0.6079,55,0,1.54296193585902
Florida,2000,0.55,0.5195,0.6079,61,1,0.86907903564879
Georgia,2000,0.55,0.5195,0.6079,43,1,1.0163930759941
Hawaii,2000,0.55,0.5195,0.6079,18,0,0.989846580489332
Idaho,2000,0.55,0.5195,0.6079,85,1,0.779420315784765
Illinois,2000,0.55,0.5195,0.6079,50,0,1.09909647984971
Indiana,2000,0.55,0.5195,0.6079,52,1,0.921523460213803
Iowa,2000,0.55,0.5195,0.6079,57,0,0.888916223106857
Kansas,2000,0.55,0.5195,0.6079,63,1,0.892852350494252
Kentucky,2000,0.55,0.5195,0.6079,39,1,0.79422552220781
Louisiana,2000,0.55,0.5195,0.6079,31,1,0.909759806771928
Maine,2000,0.55,0.5195,0.6079,46,0,0.816366238761909
Maryland,2000,0.55,0.5195,0.6079,27,0,1.02023974594087
Massachusetts,2000,0.55,0.5195,0.6079,18,0,1.22413561747998
Michigan,2000,0.55,0.5195,0.6079,55,0,0.944335107572572
Minnesota,2000,0.55,0.5195,0.6079,48,0,1.06402916312564
Mississippi,2000,0.55,0.5195,0.6079,29,1,0.652278928299861
Missouri,2000,0.55,0.5195,0.6079,47,1,0.937513977725097
Montana,2000,0.55,0.5195,0.6079,61,1,0.713400724605269
Nebraska,2000,0.55,0.5195,0.6079,,1,0.933958044460348
Nevada,2000,0.55,0.5195,0.6079,41,1,1.10942881424162
New Hampshire,2000,0.55,0.5195,0.6079,61,1,0.994319452520463
New Jersey,2000,0.55,0.5195,0.6079,58,0,1.20098850471888
New Mexico,2000,0.55,0.5195,0.6079,42,0,0.844768976159592
New York,2000,0.55,0.5195,0.6079,41,0,1.20380641409849
North Carolina,2000,0.55,0.5195,0.6079,41,1,0.943619448047591
North Dakota,2000,0.55,0.5195,0.6079,65,1,0.784251017578387
Ohio,2000,0.55,0.5195,0.6079,61,1,0.954466162723085
Oklahoma,2000,0.55,0.5195,0.6079,37,1,0.760723710694637
Oregon,2000,0.55,0.5195,0.6079,57,0,0.854162007424968
Pennsylvania,2000,0.55,0.5195,0.6079,53,0,0.936105023035291
Rhode Island,2000,0.55,0.5195,0.6079,14,0,0.925772688643378
South Carolina,2000,0.55,0.5195,0.6079,53,1,0.80668247081451
South Dakota,2000,0.55,0.5195,0.6079,70,1,0.796193585901507
Tennessee,2000,0.55,0.5195,0.6079,42,1,0.869794695173771
Texas,2000,0.55,0.5195,0.6079,49,1,0.993693250436105
Utah,2000,0.55,0.5195,0.6079,69,1,0.865388916223107
Vermont,2000,0.55,0.5195,0.6079,44,0,0.819027597620432
Virginia,2000,0.55,0.5195,0.6079,52,1,1.05812497204455
Washington,2000,0.55,0.5195,0.6079,48,0,1.1196269624726
West Virginia,2000,0.55,0.5195,0.6079,22,1,0.718879992843405
Wisconsin,2000,0.55,0.5195,0.6079,54,0,0.937312698483696
Wyoming,2000,0.55,0.5195,0.6079,70,1,1.1364225969495
DC,2000,0.55,0.5195,0.6079,15,0,3.10032651965827
Alabama,2004,0.51,0.5264,0.5162,37,1,0.780727504786216
Alaska,2004,0.51,0.5264,0.5162,63,1,1.27923845990215
Arizona,2004,0.51,0.5264,0.5162,62,1,0.873495001063603
Arkansas,2004,0.51,0.5264,0.5162,28,1,0.743161029568177
California,2004,0.51,0.5264,0.5162,39,0,1.09593703467347
Colorado,2004,0.51,0.5264,0.5162,55,1,1.06536907041055
Connecticut,2004,0.51,0.5264,0.5162,39,0,1.38340778557754
Delaware,2004,0.51,0.5264,0.5162,60,0,1.47840884918103
Florida,2004,0.51,0.5264,0.5162,67,1,0.887811104020421
Georgia,2004,0.51,0.5264,0.5162,44,1,0.991257179323548
Hawaii,2004,0.51,0.5264,0.5162,26,0,1.02899383109977
Idaho,2004,0.51,0.5264,0.5162,78,1,0.73739629865986
Illinois,2004,0.51,0.5264,0.5162,44,0,1.07379281004042
Indiana,2004,0.51,0.5264,0.5162,54,1,0.917740906190173
Iowa,2004,0.51,0.5264,0.5162,55,1,0.948840672197405
Kansas,2004,0.51,0.5264,0.5162,67,1,0.866794299085301
Kentucky,2004,0.51,0.5264,0.5162,41,1,0.796915549883004
Louisiana,2004,0.51,0.5264,0.5162,36,1,0.950989151244416
