,year,state,hs_grad,rank_a,bachelors,rank_b,adv_degree,rank_c,avg_income,dem_spend,rep_spend,dem_pac,rep_pac,inflation_rate,poverty_rate,stock_change,unemployment_rate,perc_urban,rep_sen,rep_house,campaign_fund,rep_legis,stateGDP,dem_name,rep_name,rep_win
0,2000,Alabama,84.3,44,23.5,44,8.7,38,48800,120.3,186.5,0,0,,15.6,-39.29,5.1,55.4,0.55,0.5195,0.6079,34,0.744375363420853,Gore,G.W. Bush,1
1,2001,Alabama,84.3,44,23.5,44,8.7,38,51380,,,,,1.55,16.5,-21.05,5.2,55.85,,,,,,,,
2,2002,Alabama,84.3,44,23.5,44,8.7,38,49774,,,,,2.38,16.6,-31.53,6.5,56.3,,,,,,,,
3,2003,Alabama,84.3,44,23.5,44,8.7,38,47651,,,,,1.88,17.1,50.01,6.2,56.75,,,,,,,,
4,2004,Alabama,84.3,44,23.5,44,8.7,38,46745,332.7,355,0,0,3.26,16.1,8.59,6.4,56.975,0.51,0.5264,0.5162,37,0.780727504786216,Kerry,G.W. Bush,1
5,2005,Alabama,84.3,44,23.5,44,8.7,38,46255,,,,,3.42,17,1.37,5.4,57.2,,,,,,,,
6,2006,Alabama,84.3,44,23.5,44,8.7,38,50028,,,,,2.54,16.6,9.52,4.4,57.425,,,,,,,,
7,2007,Alabama,84.3,44,23.5,44,8.7,38,50761,,,,,4.08,16.9,9.81,4.3,57.65,,,,,,,,
8,2008,Alabama,84.3,44,23.5,44,8.7,38,45789,760.4,239.7,0,0,0.09,15.7,-40.54,4.8,58.1,0.49,0.4644,0.2397,40,0.763951158033925,Obama,McCain,1
9,2009,Alabama,84.3,44,23.5,44,8.7,38,46120,,,,,2.72,17.5,43.89,9.7,58.55,,,,,,,,
10,2010,Alabama,84.3,44,23.5,44,8.7,38,46520,,,,,1.5,19,16.91,12.3,59,,,,,,,,
11,2011,Alabama,84.3,44,23.5,44,8.7,38,46490,,,,,2.96,19,-1.8,11,,,,,,,,,
12,2012,Alabama,84.3,44,23.5,44,8.7,38,43616,737.1,458.7,70.5,143.3,1.74,19,15.91,8.3,,0.51,0.5563,0.396,62,0.756359407770418,Obama,Romney,1
13,2013,Alabama,84.3,44,23.5,44,8.7,38,49876,,,,,1.5,18.7,38.32,8.2,,,,,,,,,
14,2014,Alabama,84.3,44,23.5,44,8.7,38,43820,,,,,0.76,19.3,13.4,7.6,,,,,,,,,
15,2015,Alabama,84.3,44,23.5,44,8.7,38,46053,,,,,0.73,18.5,5.73,6.4,,,,,,,,,
16,2000,Alaska,92.1,5,28,26,10.1,27,79616,120.3,186.5,0,0,,9.1,-39.29,7.4,65.6,0.55,0.5195,0.6079,65,1.27888357114103,Gore,G.W. Bush,1
17,2001,Alaska,92.1,5,28,26,10.1,27,72110,,,,,1.55,7.2,-21.05,7.5,65.65,,,,,,,,
18,2002,Alaska,92.1,5,28,26,10.1,27,69257,,,,,2.38,7.7,-31.53,7.8,65.7,,,,,,,,
19,2003,Alaska,92.1,5,28,26,10.1,27,71632,,,,,1.88,9.7,50.01,8.7,65.75,,,,,,,,
20,2004,Alaska,92.1,5,28,26,10.1,27,70326,332.7,355,0,0,3.26,8.2,8.59,8.8,65.775,0.51,0.5264,0.5162,63,1.27923845990215,Kerry,G.W. Bush,1
21,2005,Alaska,92.1,5,28,26,10.1,27,68761,,,,,3.42,11.2,1.37,8.1,65.8,,,,,,,,
22,2006,Alaska,92.1,5,28,26,10.1,27,74657,,,,,2.54,10.9,9.52,7.9,65.825,,,,,,,,
23,2007,Alaska,92.1,5,28,26,10.1,27,73032,,,,,4.08,8.9,9.81,7.3,65.85,,,,,,,,
24,2008,Alaska,92.1,5,28,26,10.1,27,70555,760.4,239.7,0,0,0.09,8.4,-40.54,7.4,65.9,0.49,0.4644,0.2397,57,1.39515712485279,Obama,McCain,1
25,2009,Alaska,92.1,5,28,26,10.1,27,65178,,,,,2.72,9,43.89,8,65.95,,,,,,,,
26,2010,Alaska,92.1,5,28,26,10.1,27,62731,,,,,1.5,9.9,16.91,8.9,66,,,,,,,,
27,2011,Alaska,92.1,5,28,26,10.1,27,68080,,,,,2.96,10.5,-1.8,8.7,,,,,,,,,
28,2012,Alaska,92.1,5,28,26,10.1,27,64439,737.1,458.7,70.5,143.3,1.74,10.1,15.91,8.2,,0.51,0.5563,0.396,53,1.52551031002762,Obama,Romney,1
29,2013,Alaska,92.1,5,28,26,10.1,27,76387,,,,,1.5,9.3,38.32,8,,,,,,,,,
30,2014,Alaska,92.1,5,28,26,10.1,27,70095,,,,,0.76,11.2,13.4,7.8,,,,,,,,,
31,2015,Alaska,92.1,5,28,26,10.1,27,77717,,,,,0.73,10.3,5.73,7.2,,,,,,,,,
32,2000,Arizona,86,35,27.5,30,10.2,25,59270,120.3,186.5,0,0,,15.6,-39.29,4.2,88.2,0.55,0.5195,0.6079,62,0.876347452699378,Gore,G.W. Bush,1
33,2001,Arizona,86,35,27.5,30,10.2,25,54292,,,,,1.55,13.7,-21.05,4.3,88.4,,,,,,,,
34,2002,Arizona,86,35,27.5,30,10.2,25,55000,,,,,2.38,14.2,-31.53,6.1,88.6,,,,,,,,
35,2003,Arizona,86,35,27.5,30,10.2,25,57039,,,,,1.88,15.4,50.01,6.1,88.8,,,,,,,,
36,2004,Arizona,86,35,27.5,30,10.2,25,56931,332.7,355,0,0,3.26,14.2,8.59,5.5,88.9,0.51,0.5264,0.5162,62,0.873495001063603,Kerry,G.W. Bush,1
37,2005,Arizona,86,35,27.5,30,10.2,25,56864,,,,,3.42,14.2,1.37,4.9,89,,,,,,,,
