state,hs_grad,rank_a,bachelors,rank_b,adv_degree,rank_c
Alabama,84.3,44,23.5,44,8.7,38
Alaska,92.1,5,28,26,10.1,27
Arizona,86,35,27.5,30,10.2,25
Arkansas,84.8,43,21.1,48,7.5,49
California,81.8,50,31.4,14,11.6,14
Colorado,90.7,14,38.1,2,14,7
Connecticut,89.9,18,37.6,4,16.6,3
Delaware,88.4,27,30,19,12.2,12
District of Columbia,89.3,,54.6,,31.3,
Florida,86.9,32,27.3,31,9.8,29
Georgia,85.4,40,28.8,23,10.7,20
Hawaii,91,11,30.8,17,10.5,21
Idaho,89.5,22,25.9,38,8.2,42
Illinois,87.9,30,32.3,12,12.4,11
Indiana,87.8,31,24.1,42,8.7,38
Iowa,91.5,9,26.7,35,8.5,41
Kansas,90.2,17,31,16,11,19
Kentucky,84.2,45,22.3,47,9.2,36
Louisiana,83.4,47,22.5,46,7.7,46
Maine,91.6,8,29,22,10.3,24
Maryland,89.4,23,37.9,3,17.3,2
Massachusetts,89.8,19,40.5,1,17.7,1
Michigan,89.6,21,26.9,34,10.5,21
Minnesota,92.4,2,33.7,10,11.2,17
Mississippi,82.3,48,20.7,49,7.7,46
Missouri,88.4,27,27.1,32,10.2,25
Montana,85.5,39,24.9,41,9,37
Nebraska,90.7,14,29.3,21,9.7,30
Nevada,85.1,41,23,45,7.9,45
New Hampshire,92.3,3,34.9,8,13,9
New Jersey,88.6,26,36.8,5,14,7
New Mexico,84.2,45,26.3,36,11.5,15
New York,85.6,37,34.2,9,14.8,5
North Carolina,85.8,36,28.4,25,9.9,28
North Dakota,91.7,7,27.7,28,7.6,48
Ohio,89.1,25,26.1,37,9.7,30
Oklahoma,86.9,32,24.1,42,8,43
Oregon,89.8,19,30.8,17,11.5,15
Pennsylvania,89.2,24,28.6,24,11.2,17
Rhode Island,86.2,34,31.9,13,12.8,10
South Carolina,85.6,37,25.8,39,9.3,35
South Dakota,90.9,13,27,33,8,43
Texas,81.9,49,27.6,29,9.4,33
United States,86.7,,29.8,,11.2,
Utah,91.2,10,31.1,15,10.4,23
Vermont,91.8,6,36,7,14.3,6
Virginia,88.3,29,36.3,6,15.4,4
Washington,90.4,16,32.9,11,12,13
West Virginia,85,42,19.2,50,7.4,50
Wisconsin,91,11,27.8,27,9.4,33
Wyoming,92.3,3,25.7,40,8.6,40
