year,state,hs_grad,rank_a,bachelors,rank_b,adv_degree,rank_c
2000,Alabama,84.3,44,23.5,44,8.7,38
2001,Alabama,84.3,44,23.5,44,8.7,38
2002,Alabama,84.3,44,23.5,44,8.7,38
2003,Alabama,84.3,44,23.5,44,8.7,38
2004,Alabama,84.3,44,23.5,44,8.7,38
2005,Alabama,84.3,44,23.5,44,8.7,38
2006,Alabama,84.3,44,23.5,44,8.7,38
2007,Alabama,84.3,44,23.5,44,8.7,38
2008,Alabama,84.3,44,23.5,44,8.7,38
2009,Alabama,84.3,44,23.5,44,8.7,38
2010,Alabama,84.3,44,23.5,44,8.7,38
2011,Alabama,84.3,44,23.5,44,8.7,38
2012,Alabama,84.3,44,23.5,44,8.7,38
2013,Alabama,84.3,44,23.5,44,8.7,38
2014,Alabama,84.3,44,23.5,44,8.7,38
2015,Alabama,84.3,44,23.5,44,8.7,38
2000,Alaska,92.1,5,28,26,10.1,27
2001,Alaska,92.1,5,28,26,10.1,27
2002,Alaska,92.1,5,28,26,10.1,27
2003,Alaska,92.1,5,28,26,10.1,27
2004,Alaska,92.1,5,28,26,10.1,27
2005,Alaska,92.1,5,28,26,10.1,27
2006,Alaska,92.1,5,28,26,10.1,27
2007,Alaska,92.1,5,28,26,10.1,27
2008,Alaska,92.1,5,28,26,10.1,27
2009,Alaska,92.1,5,28,26,10.1,27
2010,Alaska,92.1,5,28,26,10.1,27
2011,Alaska,92.1,5,28,26,10.1,27
2012,Alaska,92.1,5,28,26,10.1,27
2013,Alaska,92.1,5,28,26,10.1,27
2014,Alaska,92.1,5,28,26,10.1,27
2015,Alaska,92.1,5,28,26,10.1,27
2000,Arizona,86,35,27.5,30,10.2,25
2001,Arizona,86,35,27.5,30,10.2,25
2002,Arizona,86,35,27.5,30,10.2,25
2003,Arizona,86,35,27.5,30,10.2,25
2004,Arizona,86,35,27.5,30,10.2,25
2005,Arizona,86,35,27.5,30,10.2,25
2006,Arizona,86,35,27.5,30,10.2,25
2007,Arizona,86,35,27.5,30,10.2,25
2008,Arizona,86,35,27.5,30,10.2,25
2009,Arizona,86,35,27.5,30,10.2,25
2010,Arizona,86,35,27.5,30,10.2,25
2011,Arizona,86,35,27.5,30,10.2,25
2012,Arizona,86,35,27.5,30,10.2,25
2013,Arizona,86,35,27.5,30,10.2,25
2014,Arizona,86,35,27.5,30,10.2,25
2015,Arizona,86,35,27.5,30,10.2,25
2000,Arkansas,84.8,43,21.1,48,7.5,49
2001,Arkansas,84.8,43,21.1,48,7.5,49
