state,year,avg_income
Alabama,2017,51113
Alabama,2016,48237
Alabama,2015,46053
Alabama,2014,43820
Alabama,2013,49876
Alabama,2012,43616
Alabama,2011,46490
Alabama,2010,46520
Alabama,2009,46120
Alabama,2008,45789
Alabama,2007,50761
Alabama,2006,50028
Alabama,2005,46255
Alabama,2004,46745
Alabama,2003,47651
Alabama,2002,49774
Alabama,2001,51380
Alabama,2000,48800
Alaska,2017,72231
Alaska,2016,77351
Alaska,2015,77717
Alaska,2014,70095
Alaska,2013,76387
Alaska,2012,64439
Alaska,2011,68080
Alaska,2010,62731
Alaska,2009,65178
Alaska,2008,70555
Alaska,2007,73032
Alaska,2006,74657
Alaska,2005,68761
Alaska,2004,70326
Alaska,2003,71632
Alaska,2002,69257
Alaska,2001,72110
Alaska,2000,79616
Arizona,2017,61125
Arizona,2016,58328
Arizona,2015,54060
Arizona,2014,51050
Arizona,2013,55453
Arizona,2012,53335
Arizona,2011,50320
Arizona,2010,53108
Arizona,2009,52839
Arizona,2008,52385
Arizona,2007,53544
Arizona,2006,55957
Arizona,2005,56864
Arizona,2004,56931
Arizona,2003,57039
Arizona,2002,55000
Arizona,2001,54292
Arizona,2000,59270
Arkansas,2017,48829
Arkansas,2016,46894
Arkansas,2015,44282
Arkansas,2014,46560
Arkansas,2013,41503
Arkansas,2012,42075
Arkansas,2011,41735
Arkansas,2010,45114
Arkansas,2009,43477
Arkansas,2008,41847
Arkansas,2007,45180
Arkansas,2006,48349
Arkansas,2005,45164
Arkansas,2004,46126
Arkansas,2003,45511
Arkansas,2002,42756
Arkansas,2001,44253
Arkansas,2000,46272
California,2017,69759
California,2016,68070
California,2015,65843
California,2014,62693
California,2013,64078
California,2012,60635
California,2011,60990
California,2010,58292
California,2009,61162
California,2008,64291
California,2007,65071
California,2006,66054
California,2005,67421
California,2004,65122
California,2003,64033
California,2002,65867
California,2001,64817
California,2000,65596
Colorado,2017,74172
Colorado,2016,72084
Colorado,2015,68906
Colorado,2014,63162
Colorado,2013,71580
Colorado,2012,66794
Colorado,2011,61242
Colorado,2010,64040
Colorado,2009,67866
Colorado,2008,64057
Colorado,2007,69556
Colorado,2006,72462
Colorado,2005,67882
Colorado,2004,63479
Colorado,2003,66198
Colorado,2002,66722
Colorado,2001,65988
Colorado,2000,68559
Connecticut,2017,72780
Connecticut,2016,77556
Connecticut,2015,75417
Connecticut,2014,72719
Connecticut,2013,73034
Connecticut,2012,71442
Connecticut,2011,68720
Connecticut,2010,71452
Connecticut,2009,74361
Connecticut,2008,74274
Connecticut,2007,73823
Connecticut,2006,76017
Connecticut,2005,76056
Connecticut,2004,71514
Connecticut,2003,71680
Connecticut,2002,73436
Connecticut,2001,72947
Connecticut,2000,74042
Delaware,2017,62318
Delaware,2016,59294
Delaware,2015,59759
Delaware,2014,59619
Delaware,2013,57013
Delaware,2012,55040
Delaware,2011,52382
Delaware,2010,59704
Delaware,2009,62211
Delaware,2008,59686
Delaware,2007,57867
Delaware,2006,64697
Delaware,2005,63910
Delaware,2004,64468
Delaware,2003,62507
Delaware,2002,65492
Delaware,2001,67841
Delaware,2000,68844
D.C.,2017,83382
D.C.,2016,72508
D.C.,2015,72501
D.C.,2014,70767
D.C.,2013,63301
D.C.,2012,63952
D.C.,2011,69789
D.C.,2010,60350
D.C.,2009,64142
D.C.,2008,60863
D.C.,2007,63446
D.C.,2006,60186
D.C.,2005,59082
D.C.,2004,56614
D.C.,2003,56525
D.C.,2002,60181
D.C.,2001,53385
D.C.,2000,57140
Florida,2017,53681
Florida,2016,52277
Florida,2015,50518
Florida,2014,47822
Florida,2013,51153
Florida,2012,50473
Florida,2011,49279
Florida,2010,49267
Florida,2009,49650
Florida,2008,52261
Florida,2007,51196
Florida,2006,54273
Florida,2005,55669
Florida,2004,54093
Florida,2003,52732
Florida,2002,52068
Florida,2001,51956
Florida,2000,50550
Georgia,2017,57016
Georgia,2016,54678
Georgia,2015,52529
Georgia,2014,51362
Georgia,2013,49530
Georgia,2012,50001
Georgia,2011,51472
Georgia,2010,50216
Georgia,2009,49707
Georgia,2008,49638
Georgia,2007,52760
Georgia,2006,57647
Georgia,2005,60139
Georgia,2004,57788
Georgia,2003,53316
Georgia,2002,56699
Georgia,2001,58671
Georgia,2000,59092
Hawaii,2017,73575
Hawaii,2016,73684
Hawaii,2015,66751
Hawaii,2014,73820
Hawaii,2013,67705
Hawaii,2012,64725
Hawaii,2011,60181
