state,year,dem_name,rep_name,dem_spend,rep_spend,dem_pac,rep_pac
Alabama,2000,Gore,G.W. Bush,120.3,186.5,0,0
Alaska,2000,Gore,G.W. Bush,120.3,186.5,0,0
Arizona,2000,Gore,G.W. Bush,120.3,186.5,0,0
Arkansas,2000,Gore,G.W. Bush,120.3,186.5,0,0
California,2000,Gore,G.W. Bush,120.3,186.5,0,0
Colorado,2000,Gore,G.W. Bush,120.3,186.5,0,0
Connecticut,2000,Gore,G.W. Bush,120.3,186.5,0,0
Delaware,2000,Gore,G.W. Bush,120.3,186.5,0,0
District of Columbia,2000,Gore,G.W. Bush,120.3,186.5,0,0
Florida,2000,Gore,G.W. Bush,120.3,186.5,0,0
Georgia,2000,Gore,G.W. Bush,120.3,186.5,0,0
Hawaii,2000,Gore,G.W. Bush,120.3,186.5,0,0
Idaho,2000,Gore,G.W. Bush,120.3,186.5,0,0
Illinois,2000,Gore,G.W. Bush,120.3,186.5,0,0
Indiana,2000,Gore,G.W. Bush,120.3,186.5,0,0
Iowa,2000,Gore,G.W. Bush,120.3,186.5,0,0
Kansas,2000,Gore,G.W. Bush,120.3,186.5,0,0
Kentucky,2000,Gore,G.W. Bush,120.3,186.5,0,0
Louisiana,2000,Gore,G.W. Bush,120.3,186.5,0,0
Maine,2000,Gore,G.W. Bush,120.3,186.5,0,0
Maryland,2000,Gore,G.W. Bush,120.3,186.5,0,0
Massachusetts,2000,Gore,G.W. Bush,120.3,186.5,0,0
Michigan,2000,Gore,G.W. Bush,120.3,186.5,0,0
Minnesota,2000,Gore,G.W. Bush,120.3,186.5,0,0
Mississippi,2000,Gore,G.W. Bush,120.3,186.5,0,0
Missouri,2000,Gore,G.W. Bush,120.3,186.5,0,0
Montana,2000,Gore,G.W. Bush,120.3,186.5,0,0
Nebraska,2000,Gore,G.W. Bush,120.3,186.5,0,0
Nevada,2000,Gore,G.W. Bush,120.3,186.5,0,0
New Hampshire,2000,Gore,G.W. Bush,120.3,186.5,0,0
New Jersey,2000,Gore,G.W. Bush,120.3,186.5,0,0
New Mexico,2000,Gore,G.W. Bush,120.3,186.5,0,0
New York,2000,Gore,G.W. Bush,120.3,186.5,0,0
North Carolina,2000,Gore,G.W. Bush,120.3,186.5,0,0
North Dakota,2000,Gore,G.W. Bush,120.3,186.5,0,0
Ohio,2000,Gore,G.W. Bush,120.3,186.5,0,0
Oklahoma,2000,Gore,G.W. Bush,120.3,186.5,0,0
Oregon,2000,Gore,G.W. Bush,120.3,186.5,0,0
Pennsylvania,2000,Gore,G.W. Bush,120.3,186.5,0,0
Rhode Island,2000,Gore,G.W. Bush,120.3,186.5,0,0
South Carolina,2000,Gore,G.W. Bush,120.3,186.5,0,0
South Dakota,2000,Gore,G.W. Bush,120.3,186.5,0,0
Texas,2000,Gore,G.W. Bush,120.3,186.5,0,0
Utah,2000,Gore,G.W. Bush,120.3,186.5,0,0
Vermont,2000,Gore,G.W. Bush,120.3,186.5,0,0
Virginia,2000,Gore,G.W. Bush,120.3,186.5,0,0
Washington,2000,Gore,G.W. Bush,120.3,186.5,0,0
West Virginia,2000,Gore,G.W. Bush,120.3,186.5,0,0
Wisconsin,2000,Gore,G.W. Bush,120.3,186.5,0,0
Wyoming,2000,Gore,G.W. Bush,120.3,186.5,0,0
Alabama,2004,Kerry,G.W. Bush,332.7,355,0,0
Alaska,2004,Kerry,G.W. Bush,332.7,355,0,0
Arizona,2004,Kerry,G.W. Bush,332.7,355,0,0
Arkansas,2004,Kerry,G.W. Bush,332.7,355,0,0
California,2004,Kerry,G.W. Bush,332.7,355,0,0
Colorado,2004,Kerry,G.W. Bush,332.7,355,0,0
Connecticut,2004,Kerry,G.W. Bush,332.7,355,0,0
Delaware,2004,Kerry,G.W. Bush,332.7,355,0,0
District of Columbia,2004,Kerry,G.W. Bush,332.7,355,0,0
Florida,2004,Kerry,G.W. Bush,332.7,355,0,0
Georgia,2004,Kerry,G.W. Bush,332.7,355,0,0
Hawaii,2004,Kerry,G.W. Bush,332.7,355,0,0
Idaho,2004,Kerry,G.W. Bush,332.7,355,0,0
Illinois,2004,Kerry,G.W. Bush,332.7,355,0,0
Indiana,2004,Kerry,G.W. Bush,332.7,355,0,0
Iowa,2004,Kerry,G.W. Bush,332.7,355,0,0
Kansas,2004,Kerry,G.W. Bush,332.7,355,0,0
Kentucky,2004,Kerry,G.W. Bush,332.7,355,0,0
Louisiana,2004,Kerry,G.W. Bush,332.7,355,0,0
Maine,2004,Kerry,G.W. Bush,332.7,355,0,0
Maryland,2004,Kerry,G.W. Bush,332.7,355,0,0
Massachusetts,2004,Kerry,G.W. Bush,332.7,355,0,0
Michigan,2004,Kerry,G.W. Bush,332.7,355,0,0
Minnesota,2004,Kerry,G.W. Bush,332.7,355,0,0
Mississippi,2004,Kerry,G.W. Bush,332.7,355,0,0
Missouri,2004,Kerry,G.W. Bush,332.7,355,0,0
Montana,2004,Kerry,G.W. Bush,332.7,355,0,0
Nebraska,2004,Kerry,G.W. Bush,332.7,355,0,0
Nevada,2004,Kerry,G.W. Bush,332.7,355,0,0
New Hampshire,2004,Kerry,G.W. Bush,332.7,355,0,0
New Jersey,2004,Kerry,G.W. Bush,332.7,355,0,0
New Mexico,2004,Kerry,G.W. Bush,332.7,355,0,0
New York,2004,Kerry,G.W. Bush,332.7,355,0,0
North Carolina,2004,Kerry,G.W. Bush,332.7,355,0,0
North Dakota,2004,Kerry,G.W. Bush,332.7,355,0,0
Ohio,2004,Kerry,G.W. Bush,332.7,355,0,0
Oklahoma,2004,Kerry,G.W. Bush,332.7,355,0,0
Oregon,2004,Kerry,G.W. Bush,332.7,355,0,0
Pennsylvania,2004,Kerry,G.W. Bush,332.7,355,0,0
Rhode Island,2004,Kerry,G.W. Bush,332.7,355,0,0
South Carolina,2004,Kerry,G.W. Bush,332.7,355,0,0
South Dakota,2004,Kerry,G.W. Bush,332.7,355,0,0
Texas,2004,Kerry,G.W. Bush,332.7,355,0,0
Utah,2004,Kerry,G.W. Bush,332.7,355,0,0
Vermont,2004,Kerry,G.W. Bush,332.7,355,0,0
Virginia,2004,Kerry,G.W. Bush,332.7,355,0,0
Washington,2004,Kerry,G.W. Bush,332.7,355,0,0
West Virginia,2004,Kerry,G.W. Bush,332.7,355,0,0
Wisconsin,2004,Kerry,G.W. Bush,332.7,355,0,0
Wyoming,2004,Kerry,G.W. Bush,332.7,355,0,0
Alabama,2008,Obama,McCain,760.4,239.7,0,0
Alaska,2008,Obama,McCain,760.4,239.7,0,0
Arizona,2008,Obama,McCain,760.4,239.7,0,0
Arkansas,2008,Obama,McCain,760.4,239.7,0,0
California,2008,Obama,McCain,760.4,239.7,0,0
Colorado,2008,Obama,McCain,760.4,239.7,0,0
Connecticut,2008,Obama,McCain,760.4,239.7,0,0
Delaware,2008,Obama,McCain,760.4,239.7,0,0
District of Columbia,2008,Obama,McCain,760.4,239.7,0,0
Florida,2008,Obama,McCain,760.4,239.7,0,0
Georgia,2008,Obama,McCain,760.4,239.7,0,0
Hawaii,2008,Obama,McCain,760.4,239.7,0,0
Idaho,2008,Obama,McCain,760.4,239.7,0,0
Illinois,2008,Obama,McCain,760.4,239.7,0,0
Indiana,2008,Obama,McCain,760.4,239.7,0,0
Iowa,2008,Obama,McCain,760.4,239.7,0,0
Kansas,2008,Obama,McCain,760.4,239.7,0,0
Kentucky,2008,Obama,McCain,760.4,239.7,0,0
Louisiana,2008,Obama,McCain,760.4,239.7,0,0
Maine,2008,Obama,McCain,760.4,239.7,0,0
Maryland,2008,Obama,McCain,760.4,239.7,0,0
Massachusetts,2008,Obama,McCain,760.4,239.7,0,0
Michigan,2008,Obama,McCain,760.4,239.7,0,0
Minnesota,2008,Obama,McCain,760.4,239.7,0,0
Mississippi,2008,Obama,McCain,760.4,239.7,0,0
Missouri,2008,Obama,McCain,760.4,239.7,0,0
Montana,2008,Obama,McCain,760.4,239.7,0,0
Nebraska,2008,Obama,McCain,760.4,239.7,0,0
Nevada,2008,Obama,McCain,760.4,239.7,0,0
New Hampshire,2008,Obama,McCain,760.4,239.7,0,0
New Jersey,2008,Obama,McCain,760.4,239.7,0,0
New Mexico,2008,Obama,McCain,760.4,239.7,0,0
New York,2008,Obama,McCain,760.4,239.7,0,0
North Carolina,2008,Obama,McCain,760.4,239.7,0,0
North Dakota,2008,Obama,McCain,760.4,239.7,0,0
Ohio,2008,Obama,McCain,760.4,239.7,0,0
Oklahoma,2008,Obama,McCain,760.4,239.7,0,0
Oregon,2008,Obama,McCain,760.4,239.7,0,0
Pennsylvania,2008,Obama,McCain,760.4,239.7,0,0
Rhode Island,2008,Obama,McCain,760.4,239.7,0,0
South Carolina,2008,Obama,McCain,760.4,239.7,0,0
South Dakota,2008,Obama,McCain,760.4,239.7,0,0
Texas,2008,Obama,McCain,760.4,239.7,0,0
Utah,2008,Obama,McCain,760.4,239.7,0,0
Vermont,2008,Obama,McCain,760.4,239.7,0,0
Virginia,2008,Obama,McCain,760.4,239.7,0,0
Washington,2008,Obama,McCain,760.4,239.7,0,0
West Virginia,2008,Obama,McCain,760.4,239.7,0,0
Wisconsin,2008,Obama,McCain,760.4,239.7,0,0
Wyoming,2008,Obama,McCain,760.4,239.7,0,0
Alabama,2012,Obama,Romney,737.1,458.7,70.5,143.3
Alaska,2012,Obama,Romney,737.1,458.7,70.5,143.3
