state,year,stock_change
Alabama,1992,15.45
Alaska,1992,15.45
Arizona,1992,15.45
Arkansas,1992,15.45
California,1992,15.45
Colorado,1992,15.45
Connecticut,1992,15.45
Delaware,1992,15.45
District of Columbia,1992,15.45
Florida,1992,15.45
Georgia,1992,15.45
Hawaii,1992,15.45
Idaho,1992,15.45
Illinois,1992,15.45
Indiana,1992,15.45
Iowa,1992,15.45
Kansas,1992,15.45
Kentucky,1992,15.45
Louisiana,1992,15.45
Maine,1992,15.45
Maryland,1992,15.45
Massachusetts,1992,15.45
Michigan,1992,15.45
Minnesota,1992,15.45
Mississippi,1992,15.45
Missouri,1992,15.45
Montana,1992,15.45
Nebraska,1992,15.45
Nevada,1992,15.45
New Hampshire,1992,15.45
New Jersey,1992,15.45
New Mexico,1992,15.45
New York,1992,15.45
North Carolina,1992,15.45
North Dakota,1992,15.45
Ohio,1992,15.45
Oklahoma,1992,15.45
Oregon,1992,15.45
Pennsylvania,1992,15.45
Rhode Island,1992,15.45
South Carolina,1992,15.45
South Dakota,1992,15.45
Texas,1992,15.45
Utah,1992,15.45
Vermont,1992,15.45
Virginia,1992,15.45
Washington,1992,15.45
West Virginia,1992,15.45
Wisconsin,1992,15.45
Wyoming,1992,15.45
Alabama,1993,14.75
Alaska,1993,14.75
Arizona,1993,14.75
Arkansas,1993,14.75
California,1993,14.75
Colorado,1993,14.75
Connecticut,1993,14.75
Delaware,1993,14.75
District of Columbia,1993,14.75
Florida,1993,14.75
Georgia,1993,14.75
Hawaii,1993,14.75
Idaho,1993,14.75
Illinois,1993,14.75
Indiana,1993,14.75
Iowa,1993,14.75
Kansas,1993,14.75
Kentucky,1993,14.75
Louisiana,1993,14.75
Maine,1993,14.75
Maryland,1993,14.75
Massachusetts,1993,14.75
Michigan,1993,14.75
Minnesota,1993,14.75
Mississippi,1993,14.75
Missouri,1993,14.75
Montana,1993,14.75
Nebraska,1993,14.75
Nevada,1993,14.75
New Hampshire,1993,14.75
New Jersey,1993,14.75
New Mexico,1993,14.75
New York,1993,14.75
North Carolina,1993,14.75
North Dakota,1993,14.75
Ohio,1993,14.75
Oklahoma,1993,14.75
Oregon,1993,14.75
Pennsylvania,1993,14.75
Rhode Island,1993,14.75
South Carolina,1993,14.75
South Dakota,1993,14.75
Texas,1993,14.75
Utah,1993,14.75
Vermont,1993,14.75
Virginia,1993,14.75
Washington,1993,14.75
West Virginia,1993,14.75
Wisconsin,1993,14.75
Wyoming,1993,14.75
Alabama,1994,-3.2
Alaska,1994,-3.2
Arizona,1994,-3.2
Arkansas,1994,-3.2
California,1994,-3.2
Colorado,1994,-3.2
Connecticut,1994,-3.2
Delaware,1994,-3.2
District of Columbia,1994,-3.2
Florida,1994,-3.2
Georgia,1994,-3.2
Hawaii,1994,-3.2
Idaho,1994,-3.2
Illinois,1994,-3.2
Indiana,1994,-3.2
Iowa,1994,-3.2
Kansas,1994,-3.2
Kentucky,1994,-3.2
Louisiana,1994,-3.2
Maine,1994,-3.2
Maryland,1994,-3.2
Massachusetts,1994,-3.2
Michigan,1994,-3.2
Minnesota,1994,-3.2
Mississippi,1994,-3.2
Missouri,1994,-3.2
Montana,1994,-3.2
Nebraska,1994,-3.2
Nevada,1994,-3.2
New Hampshire,1994,-3.2
New Jersey,1994,-3.2
New Mexico,1994,-3.2
New York,1994,-3.2
North Carolina,1994,-3.2
North Dakota,1994,-3.2
Ohio,1994,-3.2
Oklahoma,1994,-3.2
Oregon,1994,-3.2
Pennsylvania,1994,-3.2
Rhode Island,1994,-3.2
South Carolina,1994,-3.2
South Dakota,1994,-3.2
Texas,1994,-3.2
Utah,1994,-3.2
Vermont,1994,-3.2
Virginia,1994,-3.2
Washington,1994,-3.2
West Virginia,1994,-3.2
Wisconsin,1994,-3.2
Wyoming,1994,-3.2
Alabama,1995,39.92
Alaska,1995,39.92
Arizona,1995,39.92
Arkansas,1995,39.92
California,1995,39.92
Colorado,1995,39.92
Connecticut,1995,39.92
Delaware,1995,39.92
District of Columbia,1995,39.92
Florida,1995,39.92
Georgia,1995,39.92
Hawaii,1995,39.92
Idaho,1995,39.92
Illinois,1995,39.92
Indiana,1995,39.92
Iowa,1995,39.92
Kansas,1995,39.92
Kentucky,1995,39.92
Louisiana,1995,39.92
Maine,1995,39.92
Maryland,1995,39.92
Massachusetts,1995,39.92
Michigan,1995,39.92
Minnesota,1995,39.92
Mississippi,1995,39.92
Missouri,1995,39.92
Montana,1995,39.92
Nebraska,1995,39.92
Nevada,1995,39.92
New Hampshire,1995,39.92
New Jersey,1995,39.92
New Mexico,1995,39.92
New York,1995,39.92
North Carolina,1995,39.92
North Dakota,1995,39.92
Ohio,1995,39.92
Oklahoma,1995,39.92
Oregon,1995,39.92
Pennsylvania,1995,39.92
Rhode Island,1995,39.92
South Carolina,1995,39.92
South Dakota,1995,39.92
Texas,1995,39.92
Utah,1995,39.92
Vermont,1995,39.92
Virginia,1995,39.92
Washington,1995,39.92
West Virginia,1995,39.92
Wisconsin,1995,39.92
