state,year,unemployment_rate
Alabama,1992,8.1
Alabama,1993,8
Alabama,1994,7.5
Alabama,1995,6.6
Alabama,1996,5.7
Alabama,1997,5.6
Alabama,1998,4.5
Alabama,1999,4.7
Alabama,2000,5.1
Alabama,2001,5.2
Alabama,2002,6.5
Alabama,2003,6.2
Alabama,2004,6.4
Alabama,2005,5.4
Alabama,2006,4.4
Alabama,2007,4.3
Alabama,2008,4.8
Alabama,2009,9.7
Alabama,2010,12.3
Alabama,2011,11
Alabama,2012,8.3
Alabama,2013,8.2
Alabama,2014,7.6
Alabama,2015,6.4
Alabama,2016,6.4
Alaska,1992,10.6
Alaska,1993,9
Alaska,1994,8.8
Alaska,1995,8.5
Alaska,1996,9
Alaska,1997,8.6
Alaska,1998,7.5
Alaska,1999,7.5
Alaska,2000,7.4
Alaska,2001,7.5
Alaska,2002,7.8
Alaska,2003,8.7
Alaska,2004,8.8
Alaska,2005,8.1
Alaska,2006,7.9
Alaska,2007,7.3
Alaska,2008,7.4
Alaska,2009,8
Alaska,2010,8.9
Alaska,2011,8.7
Alaska,2012,8.2
Alaska,2013,8
Alaska,2014,7.8
Alaska,2015,7.2
Alaska,2016,7.4
Arizona,1992,7.9
Arizona,1993,7.4
Arizona,1994,6.5
Arizona,1995,5.9
Arizona,1996,5.8
Arizona,1997,5.4
Arizona,1998,4.5
Arizona,1999,4.7
Arizona,2000,4.2
Arizona,2001,4.3
Arizona,2002,6.1
Arizona,2003,6.1
Arizona,2004,5.5
Arizona,2005,4.9
Arizona,2006,4.5
Arizona,2007,4.1
Arizona,2008,4.7
Arizona,2009,8.5
Arizona,2010,11.1
Arizona,2011,10
Arizona,2012,8.8
Arizona,2013,8.2
Arizona,2014,7.2
Arizona,2015,6.6
Arizona,2016,5.6
Arkansas,1992,8.6
Arkansas,1993,7.5
Arkansas,1994,6.6
Arkansas,1995,5.7
Arkansas,1996,6
Arkansas,1997,6.2
Arkansas,1998,6.2
Arkansas,1999,5.7
Arkansas,2000,5.1
Arkansas,2001,5.3
Arkansas,2002,6.4
Arkansas,2003,6.4
Arkansas,2004,6.6
Arkansas,2005,6.1
Arkansas,2006,5.5
Arkansas,2007,5.9
Arkansas,2008,5.7
Arkansas,2009,8
Arkansas,2010,9
Arkansas,2011,9.5
Arkansas,2012,8.5
Arkansas,2013,8.3
Arkansas,2014,7.2
Arkansas,2015,6.2
Arkansas,2016,4.7
California,1992,9.2
California,1993,10.3
California,1994,9.9
California,1995,8.5
California,1996,8.5
California,1997,7.5
California,1998,6.6
California,1999,6.1
California,2000,5.4
California,2001,5.3
California,2002,7
California,2003,7.3
California,2004,7
California,2005,6.2
California,2006,5.3
California,2007,5.5
California,2008,6.4
California,2009,10.2
California,2010,12.7
California,2011,12.6
California,2012,11.4
California,2013,10.2
California,2014,8.4
California,2015,7.2
California,2016,5.9
Colorado,1992,6.5
Colorado,1993,6.8
Colorado,1994,5.4
Colorado,1995,4.3
Colorado,1996,4.8
Colorado,1997,4.4
Colorado,1998,4
Colorado,1999,3.6
Colorado,2000,3.2
Colorado,2001,3.2
Colorado,2002,5.9
Colorado,2003,6.4
Colorado,2004,6.3
Colorado,2005,5.7
Colorado,2006,5.1
Colorado,2007,4.3
Colorado,2008,4.6
Colorado,2009,6.6
Colorado,2010,8.9
Colorado,2011,9.2
Colorado,2012,8.6
Colorado,2013,8
Colorado,2014,6.4
Colorado,2015,4.8
Colorado,2016,3.8
Connecticut,1992,8.1
Connecticut,1993,8.3
Connecticut,1994,6.3
Connecticut,1995,6.3
Connecticut,1996,6.1
Connecticut,1997,6.4
Connecticut,1998,4.5
Connecticut,1999,3.5
Connecticut,2000,3.3
Connecticut,2001,3.3
Connecticut,2002,3.9
Connecticut,2003,5.8
Connecticut,2004,5.7
Connecticut,2005,5.4
Connecticut,2006,5
Connecticut,2007,4.8
Connecticut,2008,5.4
Connecticut,2009,7.3
Connecticut,2010,9.5
Connecticut,2011,9.8
Connecticut,2012,8.7
Connecticut,2013,8.7
Connecticut,2014,7.6
Connecticut,2015,6.6
Connecticut,2016,6
Delaware,1992,6.3
Delaware,1993,5.4
Delaware,1994,6.1
Delaware,1995,4.6
Delaware,1996,5.8
Delaware,1997,5.4
Delaware,1998,4.3
Delaware,1999,3.9
Delaware,2000,4.1
Delaware,2001,4.6
Delaware,2002,4.5
Delaware,2003,4.7
Delaware,2004,4.4
Delaware,2005,4.6
Delaware,2006,4.4
Delaware,2007,3.9
Delaware,2008,4.4
Delaware,2009,7.8
Delaware,2010,9.3
Delaware,2011,8.5
Delaware,2012,7.6
Delaware,2013,7.7
Delaware,2014,6.6
Delaware,2015,5.5
Delaware,2016,5
District of Columbia,1992,8.9
District of Columbia,1993,9.2
District of Columbia,1994,8.9
District of Columbia,1995,8.7
District of Columbia,1996,9
District of Columbia,1997,8
District of Columbia,1998,9.2
District of Columbia,1999,7.5
District of Columbia,2000,5.9
District of Columbia,2001,6.4
District of Columbia,2002,6.9
District of Columbia,2003,6.9
District of Columbia,2004,7.2
District of Columbia,2005,7.8
District of Columbia,2006,5.9
District of Columbia,2007,5.9
District of Columbia,2008,6.1
District of Columbia,2009,8.3
District of Columbia,2010,10.2
District of Columbia,2011,9.9
District of Columbia,2012,10.1
District of Columbia,2013,9.1
District of Columbia,2014,8.2
District of Columbia,2015,7.7
District of Columbia,2016,6.6
Florida,1992,8.7
Florida,1993,7.8
Florida,1994,7.2
Florida,1995,5.9
Florida,1996,5.5
Florida,1997,5.2
Florida,1998,4.7
Florida,1999,4.1
Florida,2000,3.7
Florida,2001,3.9
Florida,2002,6.1
Florida,2003,5.5
Florida,2004,4.9
Florida,2005,4.3
Florida,2006,3.1
Florida,2007,3.6
Florida,2008,5
Florida,2009,9
Florida,2010,11.5
Florida,2011,10.8
Florida,2012,9
Florida,2013,8.3
Florida,2014,6.7
Florida,2015,6
Florida,2016,5
Georgia,1992,5.5
Georgia,1993,7
Georgia,1994,6.5
Georgia,1995,4.9
Georgia,1996,4.9
Georgia,1997,5.3
Georgia,1998,4.6
Georgia,1999,4.2
Georgia,2000,3.8
Georgia,2001,3.8
Georgia,2002,5.2
Georgia,2003,5.2
Georgia,2004,4.5
Georgia,2005,5.3
Georgia,2006,4.9
Georgia,2007,4.5
Georgia,2008,5.3
Georgia,2009,9
Georgia,2010,10.9
Georgia,2011,10.8
Georgia,2012,9.8
Georgia,2013,9.1
Georgia,2014,7.4
Georgia,2015,6.6
Georgia,2016,5.5
Hawaii,1992,3.4
Hawaii,1993,4.8
Hawaii,1994,5.2
Hawaii,1995,5.5
Hawaii,1996,6.3
Hawaii,1997,6.2
Hawaii,1998,5.9
Hawaii,1999,5.9
Hawaii,2000,4.7
Hawaii,2001,4.1
Hawaii,2002,5.1
Hawaii,2003,3.9
Hawaii,2004,3.8
Hawaii,2005,3.1
Hawaii,2006,2.6
Hawaii,2007,2.5
Hawaii,2008,3.2
Hawaii,2009,6.4
Hawaii,2010,7.2
Hawaii,2011,6.9
Hawaii,2012,6.8
Hawaii,2013,5.2
Hawaii,2014,4.7
Hawaii,2015,4.1
Hawaii,2016,3.1
Idaho,1992,7.8
Idaho,1993,7.8
Idaho,1994,7.1
Idaho,1995,6.9
Idaho,1996,6.8
Idaho,1997,6.7
Idaho,1998,6.6
Idaho,1999,6.3
Idaho,2000,6
Idaho,2001,5.9
Idaho,2002,7
Idaho,2003,6.8
Idaho,2004,6.6
Idaho,2005,5.6
Idaho,2006,5.3
Idaho,2007,4.5
Idaho,2008,4.1
Idaho,2009,8.7
Idaho,2010,10.5
Idaho,2011,10.1
Idaho,2012,8.9
Idaho,2013,7.7
Idaho,2014,6.3
Idaho,2015,5.3
Idaho,2016,4.8
Illinois,1992,9.3
Illinois,1993,8.5
Illinois,1994,7.6
Illinois,1995,5.7
Illinois,1996,6.2
Illinois,1997,5.9
Illinois,1998,5.4
Illinois,1999,4.7
Illinois,2000,4.7
Illinois,2001,5.4
Illinois,2002,7
Illinois,2003,7.3
Illinois,2004,7
Illinois,2005,6.4
Illinois,2006,5.4
Illinois,2007,5.2
Illinois,2008,6
Illinois,2009,8.8
Illinois,2010,12.2
Illinois,2011,10.1
Illinois,2012,9.7
Illinois,2013,10.3
Illinois,2014,8.8
Illinois,2015,6.8
Illinois,2016,6.7
Indiana,1992,6.9
Indiana,1993,6.9
Indiana,1994,5.9
Indiana,1995,4.9
Indiana,1996,5.3
Indiana,1997,3.9
Indiana,1998,3.8
Indiana,1999,3.4
Indiana,2000,3.6
Indiana,2001,4.1
Indiana,2002,6.1
Indiana,2003,5.5
Indiana,2004,5.9
Indiana,2005,6.2
Indiana,2006,5.4
Indiana,2007,5.4
Indiana,2008,5.3
Indiana,2009,9.7
Indiana,2010,11.8
Indiana,2011,10
Indiana,2012,9.2
Indiana,2013,9.5
Indiana,2014,6.6
Indiana,2015,6.1
Indiana,2016,5
Iowa,1992,5.8
Iowa,1993,5.2
Iowa,1994,4.7
Iowa,1995,4.3
Iowa,1996,4.4
Iowa,1997,4.4
Iowa,1998,3.7
Iowa,1999,3.8
Iowa,2000,3.4
Iowa,2001,3.9
Iowa,2002,4.8
Iowa,2003,5.2
Iowa,2004,5.3
Iowa,2005,5.4
Iowa,2006,4.7
Iowa,2007,4.5
Iowa,2008,4.5
Iowa,2009,6.8
Iowa,2010,7.3
Iowa,2011,6.7
Iowa,2012,6.1
Iowa,2013,6
Iowa,2014,5.3
Iowa,2015,4.8
Iowa,2016,4.4
Kansas,1992,4.8
Kansas,1993,5.4
