State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,55.4,55.85,56.3,56.75,56.975,57.2,57.425,57.65,58.1,58.55,59
Alaska,65.6,65.65,65.7,65.75,65.775,65.8,65.825,65.85,65.9,65.95,66
Arizona,88.2,88.4,88.6,88.8,88.9,89,89.1,89.2,89.4,89.6,89.8
Arkansas,52.5,52.9625,53.425,53.8875,54.11875,54.35,54.58125,54.8125,55.275,55.7375,56.2
California,94.4,94.5,94.6,94.7,94.75,94.8,94.85,94.9,95,95.1,95.2
Colorado,84.5,84.7125,84.925,85.1375,85.24375,85.35,85.45625,85.5625,85.775,85.9875,86.2
Connecticut,87.7,87.7375,87.775,87.8125,87.83125,87.85,87.86875,87.8875,87.925,87.9625,88
Delaware,80.1,80.5,80.9,81.3,81.5,81.7,81.9,82.1,82.5,82.9,83.3
District of Columbia,100,100,100,100,100,100,100,100,100,100,100
Florida,89.3,89.5375,89.775,90.0125,90.13125,90.25,90.36875,90.4875,90.725,90.9625,91.2
Georgia,71.6,72.0375,72.475,72.9125,73.13125,73.35,73.56875,73.7875,74.225,74.6625,75.1
Hawaii,91.5,91.55,91.6,91.65,91.675,91.7,91.725,91.75,91.8,91.85,91.9
Idaho,66.4,66.925,67.45,67.975,68.2375,68.5,68.7625,69.025,69.55,70.075,70.6
Illinois,87.8,87.8875,87.975,88.0625,88.10625,88.15,88.19375,88.2375,88.325,88.4125,88.5
Indiana,70.8,71,71.2,71.4,71.5,71.6,71.7,71.8,72,72.2,72.4
Iowa,61.1,61.4625,61.825,62.1875,62.36875,62.55,62.73125,62.9125,63.275,63.6375,64
Kansas,71.4,71.75,72.1,72.45,72.625,72.8,72.975,73.15,73.5,73.85,74.2
Kentucky,55.8,56.125,56.45,56.775,56.9375,57.1,57.2625,57.425,57.75,58.075,58.4
Louisiana,72.6,72.675,72.75,72.825,72.8625,72.9,72.9375,72.975,73.05,73.125,73.2
Maine,40.2,40.0125,39.825,39.6375,39.54375,39.45,39.35625,39.2625,39.075,38.8875,38.7
Maryland,86.1,86.2375,86.375,86.5125,86.58125,86.65,86.71875,86.7875,86.925,87.0625,87.2
Massachusetts,91.4,91.475,91.55,91.625,91.6625,91.7,91.7375,91.775,91.85,91.925,92
Michigan,74.7,74.6875,74.675,74.6625,74.65625,74.65,74.64375,74.6375,74.625,74.6125,74.6
Minnesota,70.9,71.2,71.5,71.8,71.95,72.1,72.25,72.4,72.7,73,73.3
Mississippi,48.8,48.8625,48.925,48.9875,49.01875,49.05,49.08125,49.1125,49.175,49.2375,49.3
Missouri,69.4,69.525,69.65,69.775,69.8375,69.9,69.9625,70.025,70.15,70.275,70.4
Montana,54.1,54.325,54.55,54.775,54.8875,55,55.1125,55.225,55.45,55.675,55.9
Nebraska,69.8,70.2125,70.625,71.0375,71.24375,71.45,71.65625,71.8625,72.275,72.6875,73.1
Nevada,91.5,91.8375,92.175,92.5125,92.68125,92.85,93.01875,93.1875,93.525,93.8625,94.2
New Hampshire,59.3,59.425,59.55,59.675,59.7375,59.8,59.8625,59.925,60.05,60.175,60.3
New Jersey,94.4,94.4375,94.475,94.5125,94.53125,94.55,94.56875,94.5875,94.625,94.6625,94.7
New Mexico,75,75.3,75.6,75.9,76.05,76.2,76.35,76.5,76.8,77.1,77.4
New York,87.5,87.55,87.6,87.65,87.675,87.7,87.725,87.75,87.8,87.85,87.9
North Carolina,60.2,60.9375,61.675,62.4125,62.78125,63.15,63.51875,63.8875,64.625,65.3625,66.1
North Dakota,55.9,56.4,56.9,57.4,57.65,57.9,58.15,58.4,58.9,59.4,59.9
Ohio,77.4,77.4625,77.525,77.5875,77.61875,77.65,77.68125,77.7125,77.775,77.8375,77.9
Oklahoma,65.3,65.4125,65.525,65.6375,65.69375,65.75,65.80625,65.8625,65.975,66.0875,66.2
Oregon,78.7,78.9875,79.275,79.5625,79.70625,79.85,79.99375,80.1375,80.425,80.7125,81
Pennsylvania,77.1,77.3,77.5,77.7,77.8,77.9,78,78.1,78.3,78.5,78.7
Rhode Island,90.9,90.875,90.85,90.825,90.8125,90.8,90.7875,90.775,90.75,90.725,90.7
South Carolina,60.5,61.225,61.95,62.675,63.0375,63.4,63.7625,64.125,64.85,65.575,66.3
South Dakota,51.9,52.5,53.1,53.7,54,54.3,54.6,54.9,55.5,56.1,56.7
Tennessee,63.6,63.95,64.3,64.65,64.825,65,65.175,65.35,65.7,66.05,66.4
Texas,82.5,82.775,83.05,83.325,83.4625,83.6,83.7375,83.875,84.15,84.425,84.7
Utah,88.2,88.5,88.8,89.1,89.25,89.4,89.55,89.7,90,90.3,90.6
Vermont,38.2,38.2875,38.375,38.4625,38.50625,38.55,38.59375,38.6375,38.725,38.8125,38.9
Virginia,73,73.3125,73.625,73.9375,74.09375,74.25,74.40625,74.5625,74.875,75.1875,75.5
Washington,82,82.25,82.5,82.75,82.875,83,83.125,83.25,83.5,83.75,84
West Virginia,46.1,46.425,46.75,47.075,47.2375,47.4,47.5625,47.725,48.05,48.375,48.7
Wisconsin,68.3,68.5375,68.775,69.0125,69.13125,69.25,69.36875,69.4875,69.725,69.9625,70.2
Wyoming,65.1,65.0625,65.025,64.9875,64.96875,64.95,64.93125,64.9125,64.875,64.8375,64.8
